"","title","author","subject","abstract","date"
"1","cloud gap-filling with deep learning for improved grassland monitoring","iason tsardanidis, alkiviadis koukos, vasileios sitokonstantinou, thanassis drivas, charalampos kontoes","computer vision and pattern recognition","uninterrupted optical image time series are crucial for the timely monitoring of agricultural land changes. however, the continuity of such time series is often disrupted by clouds. in response to this challenge, we propose a deep learning method that integrates cloud-free optical (sentinel-2) observations and weather-independent (sentinel-1) synthetic aperture radar (sar) data, using a combined convolutional neural network (cnn)-recurrent neural network (rnn) architecture to generate continuous normalized difference vegetation index (ndvi) time series. we emphasize the significance of observation continuity by assessing the impact of the generated time series on the detection of grassland mowing events. we focus on lithuania, a country characterized by extensive cloud coverage, and compare our approach with alternative interpolation techniques (i.e., linear, akima, quadratic). our method surpasses these techniques, with an average mae of 0.024 and r^2 of 0.92. it not only improves the accuracy of event detection tasks by employing a continuous time series, but also effectively filters out sudden shifts and noise originating from cloudy observations that cloud masks often fail to detect.",2024-03-14
"2","a reinforcement learning approach to dairy farm battery management using q learning","nawazish ali, abdul wahid, rachael shaw, karl mason","machine learning","dairy farming consumes a significant amount of energy, making it an energy-intensive sector within agriculture. integrating renewable energy generation into dairy farming could help address this challenge. effective battery management is important for integrating renewable energy generation. managing battery charging and discharging poses significant challenges because of fluctuations in electrical consumption, the intermittent nature of renewable energy generation, and fluctuations in energy prices. artificial intelligence (ai) has the potential to significantly improve the use of renewable energy in dairy farming, however, there is limited research conducted in this particular domain. this research considers ireland as a case study as it works towards attaining its 2030 energy strategy centered on the utilization of renewable sources. this study proposes a q-learning-based algorithm for scheduling battery charging and discharging in a dairy farm setting. this research also explores the effect of the proposed algorithm by adding wind generation data and considering additional case studies. the proposed algorithm reduces the cost of imported electricity from the grid by 13.41\%, peak demand by 2\%, and 24.49\% when utilizing wind generation. these results underline how reinforcement learning is highly effective in managing batteries in the dairy farming sector.",2024-03-14
"3","climate immobility traps: a household-level test","marco letta, pierluigi montalbano, adriana paolantonio","general economics","the complex relationship between climate shocks, migration, and adaptation hampers a rigorous understanding of the heterogeneous mobility outcomes of farm households exposed to climate risk. to unpack this heterogeneity, the analysis combines longitudinal multi-topic household survey data from nigeria with a causal machine learning approach, tailored to a conceptual framework bridging economic migration theory and the poverty traps literature. the results show that pre-shock asset levels, in situ adaptive capacity, and cumulative shock exposure drive not just the magnitude but also the sign of the impact of agriculture-relevant weather anomalies on the mobility outcomes of farming households. while local adaptation acts as a substitute for migration, the roles played by wealth constraints and repeated shock exposure suggest the presence of climate-induced immobility traps.",2024-03-14
"4","the indoor agriculture industry: a promising player in demand response services","javier penuela, cecile ben, stepan boldyrev, laurent gentzbittel, henni ouerdane","physics and society","demand response (dr) programs currently cover about 2\% of the average annual global demand, which is far from contributing to the international energy agency's ``net zero by 2050'' roadmap's 20\% target. while aggregation of many small flexible loads such as individual households can help reaching this target, increasing the participation of industries that are major electricity consumers is certainly a way forward. the indoor agriculture sector currently experiences a significant growth to partake in the sustainable production of high-quality food world-wide. as energy-related costs, up to 40\% of the total expenses, may preclude full maturity of this industry, dr participation can result in a win-win situation. indeed, the agriculture system must transform and become a sustainable source of food for an increasing number of people worldwide under the constraints of preservation of soils and water, carbon footprint, and energy efficiency. we considered the case of the russian federation where indoor farming is burgeoning and already represents a load of several thousand megawatts. to show the viability of the indoor farming industry participation in implicit and explicit dr programs, we built a physical model of a vertical farm inside a phytotron with complete control of environmental parameters including ambient temperature, relative humidity, co$_2$ concentration, and photosynthetic photon flux density. this phytotron was used as a model greenhouse. we grew different varieties of leafy plants under simulated dr conditions and control conditions on the same setup. our results show that the indoor farming dedicated to greens can participate in dr without adversely affecting plant production and that this presents an economic advantage.",2024-03-13
"5","physics-guided inverse regression for crop quality assessment","david shulman, assaf israeli, yael botnaro, ori margalit, oved tamir, shaul naschitz, dan gamrasni, ofer m. shir, itai dattner","methodology","we present an innovative approach leveraging physics-guided neural networks (pgnns) for enhancing agricultural quality assessments. central to our methodology is the application of physics-guided inverse regression, a technique that significantly improves the model's ability to precisely predict quality metrics of crops. this approach directly addresses the challenges of scalability, speed, and practicality that traditional assessment methods face. by integrating physical principles, notably fick`s second law of diffusion, into neural network architectures, our developed pgnn model achieves a notable advancement in enhancing both the interpretability and accuracy of assessments. empirical validation conducted on cucumbers and mushrooms demonstrates the superior capability of our model in outperforming conventional computer vision techniques in postharvest quality evaluation. this underscores our contribution as a scalable and efficient solution to the pressing demands of global food supply challenges.",2024-03-13
"6","the effect of different optimization strategies to physics-constrained deep learning for soil moisture estimation","jianxin xie, bing yao, zheyu jiang","machine learning","soil moisture is a key hydrological parameter that has significant importance to human society and the environment. accurate modeling and monitoring of soil moisture in crop fields, especially in the root zone (top 100 cm of soil), is essential for improving agricultural production and crop yield with the help of precision irrigation and farming tools. realizing the full sensor data potential depends greatly on advanced analytical and predictive domain-aware models. in this work, we propose a physics-constrained deep learning (p-dl) framework to integrate physics-based principles on water transport and water sensing signals for effective reconstruction of the soil moisture dynamics. we adopt three different optimizers, namely adam, rmsprop, and gd, to minimize the loss function of p-dl during the training process. in the illustrative case study, we demonstrate the empirical convergence of adam optimizers outperforms the other optimization methods in both mini-batch and full-batch training.",2024-03-13
"7","robocertprob: property specification for probabilistic robochart models","kangfeng ye, jim woodcock","logic in computer science","robochart is a core notation in the robostar framework which brings modern modelling and formal verification technologies into software engineering for robotics. it is a timed and probabilistic domain-specific language for robotics and provides a uml-like architectural and state machine modelling. this work presents robocertprob for specifying quantitative properties of probabilistic robotic systems modelled in robochart. robocertprob's semantics is based on pctl*. to interpret robocertprob over robochart models, we give a markov semantics (dtmcs and mdps) to robochart, derived from its existing transformation semantics to the prism language. in addition to property specification, robocertprob also entitles us to configure loose constants and unspecified functions and operations in robochart models. it allows us to set up environmental inputs to verify reactive probabilistic systems not directly supported in probabilistic model checkers like prism because they employ a closed-world assumption. we implement robocertprob in an accompanying tool of robochart, robotool, for specifying properties and automatically generating prism properties from them to formally verify robochart models using prism. we have used it to analyse the behaviour of software controllers for two real robots: an industrial painting robot and an agricultural robot for treating plants with uv lights.",2024-03-12
"8","a review of cybersecurity incidents in the food and agriculture sector","ajay kulkarni, yingjie wang, munisamy gopinath, dan sobien, abdul rahman, feras a. batarseh","cryptography and security","the increasing utilization of emerging technologies in the food & agriculture (fa) sector has heightened the need for security to minimize cyber risks. considering this aspect, this manuscript reviews disclosed and documented cybersecurity incidents in the fa sector. for this purpose, thirty cybersecurity incidents were identified, which took place between july 2011 and april 2023. the details of these incidents are reported from multiple sources such as: the private industry and flash notifications generated by the federal bureau of investigation (fbi), internal reports from the affected organizations, and available media sources. considering the available information, a brief description of the security threat, ransom amount, and impact on the organization are discussed for each incident. this review reports an increased frequency of cybersecurity threats to the fa sector. to minimize these cyber risks, popular cybersecurity frameworks and recent agriculture-specific cybersecurity solutions are also discussed. further, the need for ai assurance in the fa sector is explained, and the farmer-centered ai (fcai) framework is proposed. the main aim of the fcai framework is to support farmers in decision-making for agricultural production, by incorporating ai assurance. lastly, the effects of the reported cyber incidents on other critical infrastructures, food security, and the economy are noted, along with specifying the open issues for future development.",2024-03-12
"9","feasibility of machine learning-based rice yield prediction in india at the district level using climate reanalysis data","djavan de clercq, adam mahdi","machine learning","yield forecasting, the science of predicting agricultural productivity before the crop harvest occurs, helps a wide range of stakeholders make better decisions around agricultural planning. this study aims to investigate whether machine learning-based yield prediction models can capably predict kharif season rice yields at the district level in india several months before the rice harvest takes place. the methodology involved training 19 machine learning models such as catboost, lightgbm, orthogonal matching pursuit, and extremely randomized trees on 20 years of climate, satellite, and rice yield data across 247 of indian rice-producing districts. in addition to model-building, a dynamic dashboard was built understand how the reliability of rice yield predictions varies across districts. the results of the proof-of-concept machine learning pipeline demonstrated that rice yields can be predicted with a reasonable degree of accuracy, with out-of-sample r2, mae, and mape performance of up to 0.82, 0.29, and 0.16 respectively. these results outperformed test set performance reported in related literature on rice yield modeling in other contexts and countries. in addition, shap value analysis was conducted to infer both the importance and directional impact of the climate and remote sensing variables included in the model. important features driving rice yields included temperature, soil water volume, and leaf area index. in particular, higher temperatures in august correlate with increased rice yields, particularly when the leaf area index in august is also high. building on the results, a proof-of-concept dashboard was developed to allow users to easily explore which districts may experience a rise or fall in yield relative to the previous year.",2024-03-12
"10","carbon economics of different agricultural practices for farming soil","suganthi pazhanivel koushika, anbalagan krishnaveni, sellaperumal pazhanivelan, alagirisamy bharani, venugopal arunkumar, perumal devaki, narayanan muthukrishnan","general economics","the loss of soil organic carbon (soc) poses a severe danger to agricultural sustainability around the world. this review examines various farming practices and their impact on soil organic carbon storage. after a careful review of the literature, most of the research indicated that different farming practices, such as organic farming, cover crops, conservation tillage, and agroforestry, play vital roles in increasing the soc content of the soil sustainably. root exudation from cover crops increases microbial activity and helps break down complex organic compounds into organic carbon. conservation tillage enhances the soil structure and maintains carbon storage without disturbing the soil. agroforestry systems boost organic carbon input and fasten nutrient cycling because the trees and crops have symbiotic relationships. intercropping and crop rotations have a role in changing the composition of plant residues and promoting carbon storage. there were many understanding on the complex interactions between soil organic carbon dynamics and agricultural practices. based on the study, the paper reveals, the role of different agricultural practices like carbon storage through cover crops, crop rotation, mulching conservation tillage, conventional tillage, zero tillage and organic amendments in organic carbon storage in the soil for maximum crop yield to improve the economic condition of the cultivators.",2024-03-12
