"","prod_name","title","reviewer","review","date","ratings","type_of_purchase"
"1","maybelline-instant-rewind-circles-concealer",NA,"suzan","great coverage great product",2024-01-17,4,"verified purchase"
"2","maybelline-instant-rewind-circles-concealer",NA,"tricia","this is the best price for the best concealer i have ever used i will be buying more",2023-12-12,5,"verified purchase"
"3","maybelline-instant-rewind-circles-concealer",NA,"v","lighter than the photo and makes my under eye way too bright",2021-02-15,3,"verified purchase"
"4","maybelline-instant-rewind-circles-concealer",NA,"jess","works great",2019-06-29,5,"verified purchase"
"5","maybelline-instant-rewind-circles-concealer",NA,"nemai","value for money",2022-07-28,5,"verified purchase"
"6","maybelline-instant-rewind-circles-concealer",NA,"melanie","great product but sometimes the foam comes off and will not reattach",2020-06-15,1,"verified purchase"
"7","maybelline-instant-rewind-circles-concealer",NA,"zobi","great",2020-07-14,5,"verified purchase"
"8","maybelline-instant-rewind-circles-concealer",NA,"maree cooper","love this product",2019-09-28,3,"verified purchase"
"9","maybelline-instant-rewind-circles-concealer",NA,"amazon customer","was excited to use the product it looks fine from outside but nothing is inside looks like expired or all dried up inside the tiny bottle what should i do with it",2020-07-13,5,"verified purchase"
"10","maybelline-instant-rewind-circles-concealer",NA,"kim merrick","amazing",2019-08-16,5,"verified purchase"
"11","maybelline-instant-rewind-circles-concealer",NA,"suzan","sits in my fine lines under my eyes highlights pores",2024-01-17,4,"verified purchase"
"12","maybelline-instant-rewind-circles-concealer",NA,"tricia","doesnt work was all dried out  waste of money",2023-12-12,5,"verified purchase"
"13","maybelline-instant-rewind-circles-concealer",NA,"caroline lake","got quickly and works great",2021-12-10,3,"verified purchase"
"14","maybelline-instant-rewind-circles-concealer",NA,"vanshu","happy with product price and delivery",2021-09-06,1,"verified purchase"
"15","maybelline-instant-rewind-circles-concealer",NA,"bringbackusaamazon","just a tip for husbands who buy these as a gift for your wifeone is apparently enough three is enough to last  years just saying",2018-10-30,1,"verified purchase"
"16","maybelline-instant-rewind-circles-concealer",NA,"ana","my all time favourite concealer  great creamy consistency not too heavy and blends nicely with my foundation  nice and convenient to carry in handbag and travel with",2023-03-31,5,"verified purchase"
"17","maybelline-instant-rewind-circles-concealer",NA,"ben slater","finally a concealer that actually conceals im  and have both wrinkles and very dark rings under my eyes completely covered the dark rings and softened the wrinkles blends nicely so you cant tell youve got concealer on",2018-12-26,5,"verified purchase"
"18","maybelline-instant-rewind-circles-concealer",NA,"michelle pye","this is a repurchase as this product is just what you want it does what you want without looking cakey",2020-07-20,5,"verified purchase"
"19","maybelline-instant-rewind-circles-concealer",NA,"susan","great item excellent price",2021-07-13,5,NA
"20","maybelline-instant-rewind-circles-concealer",NA,"ellice","renewed my makeup",2021-01-02,5,NA
"21","maybelline-instant-rewind-circles-concealer","muy bueno","suzan","great colour ",2024-01-17,4,"verified purchase"
"22","maybelline-instant-rewind-circles-concealer","es un producto estrella mi mam lo sigue eligiendo a travs de los aos","tricia","favourite product",2023-12-12,5,"verified purchase"
"23","maybelline-instant-rewind-circles-concealer","ottimo prodotto prezzo vantaggioso","tracy green","love this  makes my eye bags disappear",2022-03-03,3,"verified purchase"
"24","maybelline-instant-rewind-circles-concealer","per occhiaie","amtur","good coverage",2020-10-04,5,"verified purchase"
"25","maybelline-instant-rewind-circles-concealer",NA,"joanafoe","blends well and stays true to colour",2021-02-28,5,"verified purchase"
"26","maybelline-instant-rewind-circles-concealer",NA,"rima","glides on and offers a moisture finishgreat for dehydrated eyes",2022-05-31,5,"verified purchase"
"27","maybelline-instant-rewind-circles-concealer",NA,"glenda w","mejor corrector",2022-08-23,5,"verified purchase"
"28","maybelline-instant-rewind-circles-concealer",NA,"mia mellamocca","mi mam dice que es el mejor corrector que ha probado su cobertura es excelente el color es ideal para dar luz sin ser demasiado es suave y no marca las lneas de expresin lleva aos usando y lo sigue eligiendo al paso de los aos",2023-04-07,5,"verified purchase"
