"","title","author","subject","abstract","meta"
"1","Cloud gap-filling with deep learning for improved grassland monitoring","Iason Tsardanidis, Alkiviadis Koukos, Vasileios Sitokonstantinou, Thanassis Drivas, Charalampos Kontoes","Computer Vision and Pattern Recognition (cs.CV)","Uninterrupted optical image time series are crucial for the timely monitoring of agricultural land changes. However, the continuity of such time series is often disrupted by clouds. In response to this challenge, we propose a deep learning method that integrates cloud-free optical (Sentinel-2) observations and weather-independent (Sentinel-1) Synthetic Aperture Radar (SAR) data, using a combined Convolutional Neural Network (CNN)-Recurrent Neural Network (RNN) architecture to generate continuous Normalized Difference Vegetation Index (NDVI) time series. We emphasize the significance of observation continuity by assessing the impact of the generated time series on the detection of grassland mowing events. We focus on Lithuania, a country characterized by extensive cloud coverage, and compare our approach with alternative interpolation techniques (i.e., linear, Akima, quadratic). Our method surpasses these techniques, with an average MAE of 0.024 and R^2 of 0.92. It not only improves the accuracy of event detection tasks by employing a continuous time series, but also effectively filters out sudden shifts and noise originating from cloudy observations that cloud masks often fail to detect.","Thu, 14 Mar 2024 16:41:26 UTC (17,639 KB)"
"2","A Reinforcement Learning Approach to Dairy Farm Battery Management using Q Learning","Nawazish Ali, Abdul Wahid, Rachael Shaw, Karl Mason","Machine Learning (cs.LG)","Dairy farming consumes a significant amount of energy, making it an energy-intensive sector within agriculture. Integrating renewable energy generation into dairy farming could help address this challenge. Effective battery management is important for integrating renewable energy generation. Managing battery charging and discharging poses significant challenges because of fluctuations in electrical consumption, the intermittent nature of renewable energy generation, and fluctuations in energy prices. Artificial Intelligence (AI) has the potential to significantly improve the use of renewable energy in dairy farming, however, there is limited research conducted in this particular domain. This research considers Ireland as a case study as it works towards attaining its 2030 energy strategy centered on the utilization of renewable sources. This study proposes a Q-learning-based algorithm for scheduling battery charging and discharging in a dairy farm setting. This research also explores the effect of the proposed algorithm by adding wind generation data and considering additional case studies. The proposed algorithm reduces the cost of imported electricity from the grid by 13.41\%, peak demand by 2\%, and 24.49\% when utilizing wind generation. These results underline how reinforcement learning is highly effective in managing batteries in the dairy farming sector.","Thu, 14 Mar 2024 15:42:26 UTC (3,808 KB)"
"3","Climate Immobility Traps: A Household-Level Test","Marco Letta, Pierluigi Montalbano, Adriana Paolantonio","General Economics (econ.GN)","The complex relationship between climate shocks, migration, and adaptation hampers a rigorous understanding of the heterogeneous mobility outcomes of farm households exposed to climate risk. To unpack this heterogeneity, the analysis combines longitudinal multi-topic household survey data from Nigeria with a causal machine learning approach, tailored to a conceptual framework bridging economic migration theory and the poverty traps literature. The results show that pre-shock asset levels, in situ adaptive capacity, and cumulative shock exposure drive not just the magnitude but also the sign of the impact of agriculture-relevant weather anomalies on the mobility outcomes of farming households. While local adaptation acts as a substitute for migration, the roles played by wealth constraints and repeated shock exposure suggest the presence of climate-induced immobility traps.","Thu, 14 Mar 2024 15:09:04 UTC (873 KB)"
"4","The indoor agriculture industry: a promising player in demand response services","Javier Penuela, Cecile Ben, Stepan Boldyrev, Laurent Gentzbittel, Henni Ouerdane","Physics and Society (physics.soc-ph)","Demand response (DR) programs currently cover about 2\% of the average annual global demand, which is far from contributing to the International Energy Agency's ``Net Zero by 2050'' roadmap's 20\% target. While aggregation of many small flexible loads such as individual households can help reaching this target, increasing the participation of industries that are major electricity consumers is certainly a way forward. The indoor agriculture sector currently experiences a significant growth to partake in the sustainable production of high-quality food world-wide. As energy-related costs, up to 40\% of the total expenses, may preclude full maturity of this industry, DR participation can result in a win-win situation. Indeed, the agriculture system must transform and become a sustainable source of food for an increasing number of people worldwide under the constraints of preservation of soils and water, carbon footprint, and energy efficiency. We considered the case of the Russian Federation where indoor farming is burgeoning and already represents a load of several thousand megawatts. To show the viability of the indoor farming industry participation in implicit and explicit DR programs, we built a physical model of a vertical farm inside a phytotron with complete control of environmental parameters including ambient temperature, relative humidity, CO$_2$ concentration, and photosynthetic photon flux density. This phytotron was used as a model greenhouse. We grew different varieties of leafy plants under simulated DR conditions and control conditions on the same setup. Our results show that the indoor farming dedicated to greens can participate in DR without adversely affecting plant production and that this presents an economic advantage.","Wed, 13 Mar 2024 20:02:35 UTC (1,537 KB)"
"5","Physics-Guided Inverse Regression for Crop Quality Assessment","David Shulman, Assaf Israeli, Yael Botnaro, Ori Margalit, Oved Tamir, Shaul Naschitz, Dan Gamrasni, Ofer M. Shir, Itai Dattner","Methodology (stat.ME)","We present an innovative approach leveraging Physics-Guided Neural Networks (PGNNs) for enhancing agricultural quality assessments. Central to our methodology is the application of physics-guided inverse regression, a technique that significantly improves the model's ability to precisely predict quality metrics of crops. This approach directly addresses the challenges of scalability, speed, and practicality that traditional assessment methods face. By integrating physical principles, notably Fick`s second law of diffusion, into neural network architectures, our developed PGNN model achieves a notable advancement in enhancing both the interpretability and accuracy of assessments. Empirical validation conducted on cucumbers and mushrooms demonstrates the superior capability of our model in outperforming conventional computer vision techniques in postharvest quality evaluation. This underscores our contribution as a scalable and efficient solution to the pressing demands of global food supply challenges.","Wed, 13 Mar 2024 16:06:27 UTC (291 KB)"
"6","The Effect of Different Optimization Strategies to Physics-Constrained Deep Learning for Soil Moisture Estimation","Jianxin Xie, Bing Yao, Zheyu Jiang","Machine Learning (cs.LG)","Soil moisture is a key hydrological parameter that has significant importance to human society and the environment. Accurate modeling and monitoring of soil moisture in crop fields, especially in the root zone (top 100 cm of soil), is essential for improving agricultural production and crop yield with the help of precision irrigation and farming tools. Realizing the full sensor data potential depends greatly on advanced analytical and predictive domain-aware models. In this work, we propose a physics-constrained deep learning (P-DL) framework to integrate physics-based principles on water transport and water sensing signals for effective reconstruction of the soil moisture dynamics. We adopt three different optimizers, namely Adam, RMSprop, and GD, to minimize the loss function of P-DL during the training process. In the illustrative case study, we demonstrate the empirical convergence of Adam optimizers outperforms the other optimization methods in both mini-batch and full-batch training.","Wed, 13 Mar 2024 00:32:30 UTC (1,955 KB)"
"7","RoboCertProb: Property Specification for Probabilistic RoboChart Models","Kangfeng Ye, Jim Woodcock","Logic in Computer Science (cs.LO)","RoboChart is a core notation in the RoboStar framework which brings modern modelling and formal verification technologies into software engineering for robotics. It is a timed and probabilistic domain-specific language for robotics and provides a UML-like architectural and state machine modelling. This work presents RoboCertProb for specifying quantitative properties of probabilistic robotic systems modelled in RoboChart. RoboCertProb's semantics is based on PCTL*. To interpret RoboCertProb over RoboChart models, we give a Markov semantics (DTMCs and MDPs) to RoboChart, derived from its existing transformation semantics to the PRISM language. In addition to property specification, RoboCertProb also entitles us to configure loose constants and unspecified functions and operations in RoboChart models. It allows us to set up environmental inputs to verify reactive probabilistic systems not directly supported in probabilistic model checkers like PRISM because they employ a closed-world assumption. We implement RoboCertProb in an accompanying tool of RoboChart, RoboTool, for specifying properties and automatically generating PRISM properties from them to formally verify RoboChart models using PRISM. We have used it to analyse the behaviour of software controllers for two real robots: an industrial painting robot and an agricultural robot for treating plants with UV lights.","Tue, 12 Mar 2024 23:47:00 UTC (1,188 KB)"
"8","A Review of Cybersecurity Incidents in the Food and Agriculture Sector","Ajay Kulkarni, Yingjie Wang, Munisamy Gopinath, Dan Sobien, Abdul Rahman, Feras A. Batarseh","Cryptography and Security (cs.CR)","The increasing utilization of emerging technologies in the Food & Agriculture (FA) sector has heightened the need for security to minimize cyber risks. Considering this aspect, this manuscript reviews disclosed and documented cybersecurity incidents in the FA sector. For this purpose, thirty cybersecurity incidents were identified, which took place between July 2011 and April 2023. The details of these incidents are reported from multiple sources such as: the private industry and flash notifications generated by the Federal Bureau of Investigation (FBI), internal reports from the affected organizations, and available media sources. Considering the available information, a brief description of the security threat, ransom amount, and impact on the organization are discussed for each incident. This review reports an increased frequency of cybersecurity threats to the FA sector. To minimize these cyber risks, popular cybersecurity frameworks and recent agriculture-specific cybersecurity solutions are also discussed. Further, the need for AI assurance in the FA sector is explained, and the Farmer-Centered AI (FCAI) framework is proposed. The main aim of the FCAI framework is to support farmers in decision-making for agricultural production, by incorporating AI assurance. Lastly, the effects of the reported cyber incidents on other critical infrastructures, food security, and the economy are noted, along with specifying the open issues for future development.","Tue, 12 Mar 2024 19:15:20 UTC (698 KB)"
"9","Feasibility of machine learning-based rice yield prediction in India at the district level using climate reanalysis data","Djavan De Clercq, Adam Mahdi","Machine Learning (cs.LG)","Yield forecasting, the science of predicting agricultural productivity before the crop harvest occurs, helps a wide range of stakeholders make better decisions around agricultural planning. This study aims to investigate whether machine learning-based yield prediction models can capably predict Kharif season rice yields at the district level in India several months before the rice harvest takes place. The methodology involved training 19 machine learning models such as CatBoost, LightGBM, Orthogonal Matching Pursuit, and Extremely Randomized Trees on 20 years of climate, satellite, and rice yield data across 247 of Indian rice-producing districts. In addition to model-building, a dynamic dashboard was built understand how the reliability of rice yield predictions varies across districts. The results of the proof-of-concept machine learning pipeline demonstrated that rice yields can be predicted with a reasonable degree of accuracy, with out-of-sample R2, MAE, and MAPE performance of up to 0.82, 0.29, and 0.16 respectively. These results outperformed test set performance reported in related literature on rice yield modeling in other contexts and countries. In addition, SHAP value analysis was conducted to infer both the importance and directional impact of the climate and remote sensing variables included in the model. Important features driving rice yields included temperature, soil water volume, and leaf area index. In particular, higher temperatures in August correlate with increased rice yields, particularly when the leaf area index in August is also high. Building on the results, a proof-of-concept dashboard was developed to allow users to easily explore which districts may experience a rise or fall in yield relative to the previous year.","Tue, 12 Mar 2024 13:31:13 UTC (4,413 KB)"
"10","Carbon Economics of Different Agricultural Practices for Farming Soil","Suganthi Pazhanivel Koushika, Anbalagan Krishnaveni, Sellaperumal Pazhanivelan, Alagirisamy Bharani, Venugopal Arunkumar, Perumal Devaki, Narayanan Muthukrishnan","General Economics (econ.GN)","The loss of soil organic carbon (SOC) poses a severe danger to agricultural sustainability around the World. This review examines various farming practices and their impact on soil organic carbon storage. After a careful review of the literature, most of the research indicated that different farming practices, such as organic farming, cover crops, conservation tillage, and agroforestry, play vital roles in increasing the SOC content of the soil sustainably. Root exudation from cover crops increases microbial activity and helps break down complex organic compounds into organic carbon. Conservation tillage enhances the soil structure and maintains carbon storage without disturbing the soil. Agroforestry systems boost organic carbon input and fasten nutrient cycling because the trees and crops have symbiotic relationships. Intercropping and crop rotations have a role in changing the composition of plant residues and promoting carbon storage. There were many understanding on the complex interactions between soil organic carbon dynamics and agricultural practices. Based on the study, the paper reveals, the role of different agricultural practices like Carbon storage through cover crops, crop rotation, mulching Conservation tillage, conventional tillage, zero tillage and organic amendments in organic carbon storage in the soil for maximum crop yield to improve the economic condition of the cultivators.","Tue, 12 Mar 2024 11:06:56 UTC (782 KB)"
