"","category","name","reviewer","review","date","ratings"
"1","Makeup","Professional Makeup Kit EyeShadow Set - for Women Full Kit, All In One Makeup Set for Women Girls Beginner, Makeup Gift Set with Eye Shadow Blush, Lipstick, Compact Powder, Mascara, Eyeliner, Lip Liner, Eyebrow Pencil, Glitter Powder(331N)","Tori Smith","Great","Reviewed in Australia on 6 February 2024","4.3 out of 5 stars"
"2","Makeup","Professional Makeup Kit EyeShadow Set - for Women Full Kit, All In One Makeup Set for Women Girls Beginner, Makeup Gift Set with Eye Shadow Blush, Lipstick, Compact Powder, Mascara, Eyeliner, Lip Liner, Eyebrow Pencil, Glitter Powder(331N)","Amazon Customer","It’s a great set.  The only issue is that I had to use a fork to open the lower level to get it open.  Plus once I slid the eyeshadow one came apart.  I will glue it.  But overall all. Excellent","Reviewed in the United States on 28 September 2023","5.0 out of 5 stars"
"3","Makeup","Professional Makeup Kit EyeShadow Set - for Women Full Kit, All In One Makeup Set for Women Girls Beginner, Makeup Gift Set with Eye Shadow Blush, Lipstick, Compact Powder, Mascara, Eyeliner, Lip Liner, Eyebrow Pencil, Glitter Powder(331N)","Amazon Customer","Great product , my wife love it","Reviewed in Canada on 16 February 2024","5.0 out of 5 stars"
"4","Makeup","Professional Makeup Kit EyeShadow Set - for Women Full Kit, All In One Makeup Set for Women Girls Beginner, Makeup Gift Set with Eye Shadow Blush, Lipstick, Compact Powder, Mascara, Eyeliner, Lip Liner, Eyebrow Pencil, Glitter Powder(331N)","Kyi po kosi Boisvert","Gave to my granddaughter for Christmas she absolutely loved it said there was so many colors to choose between","Reviewed in the United States on 4 January 2024","5.0 out of 5 stars"
"5","Makeup","Professional Makeup Kit EyeShadow Set - for Women Full Kit, All In One Makeup Set for Women Girls Beginner, Makeup Gift Set with Eye Shadow Blush, Lipstick, Compact Powder, Mascara, Eyeliner, Lip Liner, Eyebrow Pencil, Glitter Powder(331N)","Angela","This kit is so great to use and with a variety of quality shadows, blush and face powder... love it","Reviewed in Canada on 19 February 2024","5.0 out of 5 stars"
"6","Makeup","Professional Makeup Kit EyeShadow Set - for Women Full Kit, All In One Makeup Set for Women Girls Beginner, Makeup Gift Set with Eye Shadow Blush, Lipstick, Compact Powder, Mascara, Eyeliner, Lip Liner, Eyebrow Pencil, Glitter Powder(331N)","E lle","Good quality. Smaller than I thought but now I like how handy it is to store.","Reviewed in Canada on 22 January 2024","5.0 out of 5 stars"
"7","Makeup","Professional Makeup Kit EyeShadow Set - for Women Full Kit, All In One Makeup Set for Women Girls Beginner, Makeup Gift Set with Eye Shadow Blush, Lipstick, Compact Powder, Mascara, Eyeliner, Lip Liner, Eyebrow Pencil, Glitter Powder(331N)","randy ludwar","Both lower tray came apart","Reviewed in Canada on 20 January 2024","5.0 out of 5 stars"
"8","Makeup","Professional Makeup Kit EyeShadow Set - for Women Full Kit, All In One Makeup Set for Women Girls Beginner, Makeup Gift Set with Eye Shadow Blush, Lipstick, Compact Powder, Mascara, Eyeliner, Lip Liner, Eyebrow Pencil, Glitter Powder(331N)","Came two compartment apart.","My daughter  like so much","Reviewed in the United States on 31 January 2024","5.0 out of 5 stars"
"9","Makeup","Professional Makeup Kit EyeShadow Set - for Women Full Kit, All In One Makeup Set for Women Girls Beginner, Makeup Gift Set with Eye Shadow Blush, Lipstick, Compact Powder, Mascara, Eyeliner, Lip Liner, Eyebrow Pencil, Glitter Powder(331N)","Came two compartment apart.","Granddaughter just loves it. Thanks","Reviewed in Canada on 17 February 2024","3.0 out of 5 stars"
"10","Makeup","Professional Makeup Kit EyeShadow Set - for Women Full Kit, All In One Makeup Set for Women Girls Beginner, Makeup Gift Set with Eye Shadow Blush, Lipstick, Compact Powder, Mascara, Eyeliner, Lip Liner, Eyebrow Pencil, Glitter Powder(331N)","Kevin B.","Make up goes on smoothly and lasts all day !! Love this","Reviewed in the United States on 29 December 2023","3.0 out of 5 stars"
"11","Makeup","Professional Makeup Kit EyeShadow Set - for Women Full Kit, All In One Makeup Set for Women Girls Beginner, Makeup Gift Set with Eye Shadow Blush, Lipstick, Compact Powder, Mascara, Eyeliner, Lip Liner, Eyebrow Pencil, Glitter Powder(331N)","Tori Smith","Great","Reviewed in Australia on 6 February 2024","4.3 out of 5 stars"
