"","category","name","price","ratings","no_of_reviews"
"1","Luggage","Melrose Upright Wheeled Underseater Carry-on Luggage","$67.89","4.3 out of 5 stars","3,569"
"2","Luggage","24"" Inch Travel Luggage Lightweight Check in Suitcase TSA Lock Bag, Hard Shell Travel Trolley Packing Universal Wheels Spinner Cabin Dark Grey","$108.00","3.5 out of 5 stars","35"
"3","Luggage","Convertible Garment Bag with Shoulder Strap, Modoker Carry on Garment Duffel Bag for Men Women - 2 in 1 Hanging Suitcase Suit Travel Bags","$111.89","4.5 out of 5 stars","7,382"
"4","Luggage","Tote-A-Ton 82cm Duffel Bag, Ultralight, 105 Litres","$48.90","4.6 out of 5 stars","5,647"
"5","Luggage","Printed Luggage Cover, Black, Medium, Printed Luggage Cover","$86.67","4.2 out of 5 stars","582"
"6","Luggage","Rolling Duffel Bag, Brown Leopard, 22-Inch, Rolling Duffel Bag","$150.40","4.4 out of 5 stars","2,321"
"7","Luggage","SAMSONITE Global Travel Accessories - Foldable Pack Cover","$89.92","3.8 out of 5 stars","557"
"8","Luggage","Overnight Travel Duffel Bag, Canvas Leather Oversized Weekender Bag Large Carry On Bag Travel Bag for Men or Women, Pink, Fashion","$163.92","4.6 out of 5 stars","4,714"
"9","Luggage","Travel Hack Collection, Black, Underseat Backpack - 40x20x25cm, backpack","$76.69","4.6 out of 5 stars","1,519"
"10","Luggage","Suit Luggage Garment Bag with Shoulder Strap, Suit Carry on Bag Hanging Suitcase Garment Bags for Men Women Business Travel","$105.25","4.3 out of 5 stars","1,061"
"11","Luggage","Carry on Garment Bag for Travel Business Trips, Convertible Travel Duffel Bag with Shoe Compartment, Detachable Shoulder Strap, 2 in 1 Weekender Suit Bag for Men Women","$156.28","4.6 out of 5 stars","2,045"
"12","Luggage","28"" Inch Luggage Suitcase Trolley Expandable Travel Packing TSA Lock Hard Shell Wheels Spinner Luggages Suitcases Coffee","$83.41","4.6 out of 5 stars","11"
"13","Luggage","Ryanair 40x20x25 Cabin Bags with 10 Year Guarantee Maximum Size Foldable Carry On Premium Bag Holdall Small Lightweight Cabin Luggage Under seat Flight Travel Duffel Bag 2023, Navy, CABIN","$72.07","4.4 out of 5 stars","8,019"
"14","Luggage","Metz Ryanair Hand Luggage, 40 x 20 x 25 cm, Perfect Travel Backpack for Airplane, Backpack & Bag (RPET Recycled Fabric, 40 x 20 x 25 cm)","$207.64","4.4 out of 5 stars","390"
"15","Luggage","Helium Aero Hardside Expandable Luggage with Spinner Wheels, Blue Cobalt, Carry-On 19 Inch, Helium Aero Hardside Expandable Luggage with Spinner Wheels","$74.21","4.4 out of 5 stars","1,470"
"16","Luggage","32-inch Collapsible Expandble Travel Rolling Duffel Bag","$46.34","4.3 out of 5 stars","323"
"17","Luggage","Clear PVC Suitcase Cover Protectors 24 28 30 Inch Luggage Cover for Wheeled Suitcase","$119.75","4.1 out of 5 stars","5,126"
